Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
25.52137757,34.11380329,8.31257153,7.65339543,0.00102000,24.88488053
25.64021643,34.13078514,8.30698936,7.67896509,0.00102000,24.72328560
25.70746300,34.14624757,8.31527477,7.62910567,0.00102000,25.00767736
25.68388614,34.19168814,8.31281590,7.62525844,0.00102000,23.84018716
25.65854071,34.28432571,8.29556779,7.66730509,0.00102000,24.66555399
25.67867200,34.40872443,8.30090087,7.58077457,0.00102000,24.41880176
25.64972100,34.52871200,8.29356333,7.54416770,0.00102000,24.37610058
25.66264757,34.64506871,8.29050999,7.50066351,0.00102000,24.03152840
25.60844529,34.79101371,8.27920781,7.46829184,0.00102000,24.49928325
25.53382600,34.91062114,8.26335817,7.47880520,0.00102000,24.29025207
25.49923286,34.97341786,8.27766673,7.48096456,0.00102000,24.51937986
25.58055571,35.06489457,8.28297937,7.41066089,0.00102000,24.27358468
25.57599529,35.08074171,8.27928356,7.49840894,0.00102000,24.21657816
25.55834457,35.09135186,8.28937193,7.48400573,0.00102000,24.07064321
25.62163800,35.08255643,8.29307987,7.46651350,0.00102000,23.65317830
25.62606343,35.05366014,8.30181673,7.46224220,0.00102000,23.93955921
25.61378886,35.04228314,8.29163803,7.47830433,0.00102000,23.39483403
25.76720986,35.04176200,8.28257073,7.45971244,0.00102000,23.04958941
25.72401214,35.00355857,8.27706457,7.43234250,0.00102000,23.99516635
25.73197143,35.03910400,8.26655001,7.30686824,0.00102000,23.17311032
25.76291543,35.03893243,8.25698857,7.28619847,0.00102000,23.73186291
25.66513414,35.06967114,8.25896399,7.27705367,0.00102000,23.11817670
25.69378571,35.07222943,8.25268971,7.17232901,0.00102000,22.76210440
25.65936714,35.05694729,8.26682106,7.06235533,0.00102000,23.62691056
25.53370486,35.07082771,8.27329709,7.07775940,0.00102000,22.91939027
25.51331543,35.06573486,8.27243164,7.11151553,0.00102000,24.08873060
25.49284186,35.05232114,8.27759891,7.19670696,0.00102000,22.99316737
25.49976557,35.06751529,8.28905919,7.16847811,0.00102000,22.71051343
25.57362957,35.06489057,8.28871386,7.15582289,0.00102000,23.02487019
25.65183143,35.04934843,8.27806981,7.20432593,0.00102000,23.61796434
25.78633471,35.08402857,8.27840493,7.27665361,0.00102000,23.19527704
25.77663171,35.08379671,8.27221447,7.27941777,0.00102000,22.93212189
25.72075514,35.10394543,8.27317416,7.21536873,0.00102000,23.98115307
25.76335086,35.09449329,8.27318189,7.17514486,0.00102000,23.24807067
25.82704571,35.09891329,8.26368537,7.13018324,0.00102000,23.56875737
25.77437600,35.07364900,8.25622936,7.11422590,0.00102000,22.84691504
25.75004214,35.06348600,8.26188147,7.08394696,0.00102000,23.15722083
25.67747900,35.04518814,8.26598661,7.01447721,0.00102000,23.51481922
25.84775700,35.03221586,8.26692403,6.95512661,0.00102000,23.30075925
25.89540386,35.02482657,8.26269250,6.96849293,0.00102000,23.97805379
25.96952714,35.03551114,8.25835036,6.97115500,0.00102000,23.97995434
25.94628129,35.05214471,8.25525291,6.99276787,0.00102000,22.96084033
25.93523729,35.07437886,8.24857634,6.95167774,0.00102000,22.80941816
25.86125114,35.09950757,8.24357647,6.96955889,0.00102000,22.85787086
25.98268257,35.11235900,8.22678840,7.02588259,0.00102000,22.60905895
25.90771257,35.13372533,8.22225121,7.05389207,0.00102000,22.86009580
25.90170586,35.12317683,8.22070404,7.05532707,0.00102000,22.83466971
25.85545214,35.16827700,8.21633959,7.02184714,0.00102000,23.13756820
25.83600286,35.16590600,8.21762443,7.02305531,0.00102000,23.09803422
25.90263200,35.15662100,8.22223293,7.09609806,0.00102000,23.07245467
25.89599229,35.19268967,8.22970260,7.07061897,0.00102000,23.22997361
25.79611814,35.19723533,8.25818243,7.07352996,0.00102000,22.80747472
25.79695257,35.17228614,8.26180407,7.05446041,0.00102000,23.26611492
25.84952600,35.20195329,8.27166890,7.05685681,0.00102000,23.11175714
25.77608857,35.18435757,8.29826800,7.03776286,0.00102000,22.66951492
25.74038671,35.19121286,8.29688801,7.06853646,0.00102000,22.93603351
25.76818886,35.18860000,8.32015621,7.04444139,0.00102000,23.03258637
25.85919471,35.15632914,8.32003539,7.03294470,0.00102000,22.86240849
25.96568900,35.13597714,8.31188184,6.92674039,0.00102000,23.37759879
25.95984800,35.15215214,8.31138133,6.91045546,0.00102000,22.93020061
25.90850300,35.16777686,8.30144050,6.95208487,0.00102000,23.56508926
26.02143729,35.15908300,8.27598473,6.98541237,0.00102000,23.50293126
26.05092757,35.13447314,8.27410797,6.97213936,0.00102000,22.41357391
26.00926871,35.13563757,8.26421421,6.94372764,0.00102000,22.87247373
25.97141843,35.12850571,8.26448136,6.89735826,0.00102000,23.20888782
25.95009143,35.14939971,8.25340364,6.94071897,0.00102000,22.55489550
25.91590900,35.16378257,8.24501523,6.92572887,0.00102000,23.29201234
26.01693486,35.15363886,8.26332469,6.85404177,0.00102000,22.84400010
25.97813214,35.13825143,8.25767953,6.85163574,0.00102000,22.44738974
26.02594500,35.17904729,8.25899308,6.81384130,0.00102000,22.94655590
25.92455186,35.18830900,8.25210668,6.85171194,0.00000000,22.72792822
25.82481357,35.22503500,8.25301752,7.01232163,0.00000000,23.03095729
25.67741057,35.22670214,8.25400033,7.03242461,0.00000000,22.04627728
25.64251200,35.24283814,8.26184635,7.13826017,0.00000000,23.00802554
25.57198843,35.23170243,8.23613052,7.23916071,600.00000000,22.88666107
25.52159371,35.24227986,8.25570792,7.34253443,0.00000000,23.39323258
25.48789386,35.23973400,8.25808651,7.46858760,0.00000000,23.43258341
25.49785657,35.25496186,8.27109093,7.56087240,0.00000000,23.10863116
25.54344871,35.22506800,8.28673270,7.55635949,0.00000000,23.14464258
25.64060943,35.19161900,8.28827123,7.61418884,0.00000000,23.45543034
25.63034757,35.16756871,8.29878597,7.57502506,0.00000000,22.20192727
25.59124514,35.17544771,8.30136009,7.55946464,0.00000000,23.28100947
25.55506743,35.19231271,8.30020834,7.52570690,0.00000000,23.14206243
25.43492786,35.17057229,8.28461981,7.48700764,0.00000000,22.55730446
25.49596586,35.16811057,8.26769877,7.44514306,0.00000000,23.18009538
25.54882986,35.16505614,8.24017787,7.38058377,0.00000000,22.42904374
25.52767900,35.21776429,8.22874259,7.39651180,0.00000000,23.60519132
25.59745057,35.25437171,8.21770161,7.47008643,0.00000000,23.03295026
25.55170786,35.27343029,8.22446020,7.46698753,0.00000000,23.14717375
25.58947100,35.26136629,8.21469964,7.40389159,0.00000000,23.61496626
25.63523157,35.27246114,8.22276373,7.41519883,0.00000000,22.16440391
25.57209000,35.25941700,8.21335236,7.33379139,0.00000000,23.80473379
25.55516271,35.29494614,8.22477770,7.24358553,0.00000000,22.36564832
25.50049557,35.26975814,8.21549260,7.13964264,0.00000000,23.19167784
25.45240443,35.22885757,8.21754256,7.02330264,0.00000000,22.88954362
25.49448886,35.19968243,8.20969751,6.92246856,0.00000000,22.95159674
25.51962371,35.17694757,8.22431913,6.90241043,0.00000000,23.57701076
25.50231500,35.14850957,8.22793443,6.75392877,0.00000000,22.15064326
25.57284214,35.16083886,8.23457233,6.69944246,0.00000000,23.08886467
25.57682986,35.14019471,8.22191134,6.69915346,0.00000000,22.55131190
25.52560857,35.15860657,8.23164799,6.70358306,0.00000000,22.90887610
25.54256229,35.17137829,8.22349426,6.66803559,0.00000000,23.23294442
25.64668471,35.17907686,8.24434360,6.67765869,0.00000000,23.17790360
25.59885286,35.21975743,8.23100333,6.69068813,0.00000000,22.56797480
25.62679443,35.24950586,8.22619417,6.80316526,0.00000000,23.53665575
25.56006100,35.25379700,8.22748894,6.79745840,0.00000000,23.07374049
25.58534786,35.27457486,8.23889816,6.76809611,0.00000000,22.65028732
25.64375943,35.24433557,8.24733060,6.68936941,0.00000000,23.03872754
25.68210429,35.24085743,8.24450839,6.69030221,0.00000000,22.80943408
25.58674186,35.27331871,8.23848683,6.72070379,0.00000000,22.98380633
25.57882886,35.26856729,8.23299383,6.72960659,0.00000000,22.50790499
25.56399929,35.27693529,8.23660447,6.67526057,0.00000000,23.35335094
25.70553243,35.28672429,8.22571017,6.73378591,0.00000000,22.99972502
25.60849186,35.27074186,8.23323563,6.80441037,0.00000000,22.69318505
25.53429514,35.29294229,8.23908530,6.88654317,0.00000000,23.16345569
25.45227643,35.31041986,8.23791952,6.86034409,0.00000000,22.86993347
25.48085143,35.25525257,8.21597538,6.86311534,0.00000000,23.31188107
25.50918571,35.26139414,8.23029080,6.85014880,0.00000000,23.35518468
25.57273014,35.22219229,8.22743869,6.80610009,0.00000000,22.92754155
25.37449943,35.18647014,8.23764299,6.83723399,0.00000000,22.76778416
25.46196100,35.18298214,8.22055844,6.79772740,0.00000000,22.95115078
29.05435829,35.16316800,8.22237677,6.81704394,0.00000000,23.15812008
29.10230900,35.13223543,8.23043221,6.93083083,0.00000000,23.67463152
29.04436700,35.16660314,8.23316261,6.96638040,0.00000000,23.37718957
28.99423600,35.18392643,8.23106500,7.03833081,0.00000000,23.21021916
28.94812300,35.21383214,8.22465937,7.12443567,0.00000000,23.08227981
29.04518386,35.24757986,8.22288256,7.12119797,0.00000000,22.80601587
29.04742400,35.27123100,8.23332421,7.22208904,0.00000000,22.78347016
25.54036471,35.29430786,8.21495434,7.26864751,0.00000000,23.00322048
25.55404171,35.33166586,8.21689019,7.24467437,0.00000000,22.97257873
25.47455886,35.35083786,8.23500709,7.20989296,0.00000000,22.88480580
25.49345357,35.33184486,8.24915329,7.19005350,0.00000000,22.76019359
25.48978629,35.35236329,8.26612017,7.21013300,0.00000000,23.59029679
25.51264414,35.32798700,8.26748801,7.22225160,0.00000000,22.97821421
25.37887329,35.28568700,8.26948783,7.19660543,0.00000000,22.70651349
25.31369543,35.27517457,8.26998060,7.17236957,0.00000000,23.04032643
25.17281871,35.26488357,8.27415453,7.16194556,0.00000000,23.21139667
25.25318714,35.23273043,8.26887219,7.18258901,0.00000000,23.18898125
25.25965686,35.20324071,8.25552750,7.16129400,0.00000000,23.30591220
25.24858443,35.18388771,8.25144646,7.07327219,0.00000000,22.99578379
25.24123071,35.18716100,8.25014753,7.07023571,0.00000000,23.16024601
25.33061586,35.22072757,8.24586301,7.06504780,0.00000000,23.42234553
25.40021071,35.20615329,8.26672934,7.00730099,0.00000000,23.01366019
25.50155343,35.17553871,8.25957266,6.97413944,0.00000000,24.24500372
25.52451986,35.19544129,8.25618446,6.93249821,0.00000000,23.11538645
25.57755500,35.22827043,8.25933336,6.88595929,0.00000000,23.01621244
25.57833357,35.23606443,8.24938869,6.88983844,0.00000000,22.79967516
25.60295714,35.28607129,8.25144994,6.83618786,0.00000000,23.38807542
25.59156629,35.28529314,8.24414707,6.78959256,0.00000000,22.86989202
25.60718386,35.31642543,8.22231469,6.80411884,0.00000000,23.50363530
25.60700171,35.35155000,8.20975010,6.76650001,0.00000000,23.21387457
25.57835471,35.35462757,8.19804426,6.77952879,0.00000000,23.53113216
25.53880629,35.34593357,8.19597801,6.79776944,0.00000000,24.27793979
25.61706143,35.33671271,8.21074610,6.84052907,0.00000000,23.38208939
25.57667657,35.29176157,8.20539091,6.83274739,0.00000000,22.86583946
25.52745029,35.26382471,8.20991370,6.81781479,0.00000000,23.25942806
25.57408029,35.25061029,8.22036910,6.80317406,0.00000000,22.86267421
25.54202871,35.24118743,8.23827616,6.83686147,0.00000000,23.84434389
25.57981043,35.23439200,8.26875609,6.78362893,0.00000000,23.85828894
25.60736029,35.22830014,8.26034906,6.73793056,0.00000000,23.21790872
25.52269757,35.20928471,8.26363704,6.74493637,0.00000000,23.77266484
25.58241471,35.21096343,8.26980737,6.72511251,0.00000000,23.21655949
25.63059057,35.22133986,8.27422264,6.74492693,0.00000000,23.96897551
25.54708114,35.23266943,8.26811483,6.68197361,0.00000000,24.12885623
25.53964800,35.24920743,8.26650481,6.62649559,0.00000000,23.72309305
25.52955986,35.23945871,8.24521624,6.56346769,0.00000000,23.90582164
25.43487257,35.26412414,8.25523800,6.52220380,0.00000000,23.86909580
25.42487271,35.28451629,8.25459769,6.44455074,0.00000000,24.17527258
25.32747271,35.29474900,8.26249121,6.42804603,0.00000000,23.74854178
25.32067657,35.31182386,8.26257824,6.37007593,0.00000000,23.67380224
25.29846343,35.31951414,8.26512233,6.40347929,0.00000000,24.14961892
25.24429400,35.29180686,7.79987050,6.38429766,0.00000000,24.19255236
25.17258600,35.27964686,7.80098950,6.40635269,0.00000000,24.28253959
25.27148671,35.23340329,7.79607019,6.43227326,0.00000000,23.84239276
25.31245571,35.24830571,7.79528301,6.41520947,0.00000000,24.03330181
25.35324229,35.24401029,7.79316256,6.45796671,0.00000000,24.01008959
25.35907071,35.24796657,7.78616857,6.43982004,0.00000000,24.29970855
25.40800400,35.24734014,7.80183763,6.38318377,0.00000000,24.68165567
25.52040171,35.29005200,8.24751341,6.36693906,0.00000000,24.23095557
25.61825843,35.32722371,8.25222844,6.36297750,0.00000000,24.72092635
25.59289900,35.34885857,8.25250606,6.32892226,0.00000000,24.44523316
25.54912214,35.33230486,8.24568640,6.27608919,0.00000000,24.95842280
25.60851143,35.33832486,8.23480767,6.24805016,0.00000000,24.58676336
25.62415471,35.34991143,8.24844853,6.23509003,0.00000000,24.68378515
25.59043043,35.30546186,8.22981464,6.28911221,0.00000000,24.86677516
25.50760043,35.26752514,8.24336313,6.36621569,0.00000000,25.17757646
25.46434600,35.23828743,8.23099093,6.46044781,0.00000000,25.15849494
25.34266286,35.23403100,8.22687749,6.53063186,0.00000000,25.18904262
25.32304871,35.22539000,8.21097804,6.57757896,0.00000000,25.06262928
25.26830357,35.21130543,8.20242251,6.58845980,0.00000000,25.08040832
25.22050671,35.15263157,8.18817821,6.68917431,0.00000000,25.31950646
25.17627771,35.15124886,8.18488736,6.76131020,0.00000000,25.04000530
25.18156871,35.10622300,8.18412141,6.73180511,0.00000000,25.27392187
25.16474029,35.05127000,8.17611431,6.69684597,0.00000000,25.39109257
25.24702771,34.98066171,8.17666196,6.66923446,0.00000000,25.77732360
25.25965857,34.91132986,8.18579679,6.76304714,0.00000000,25.73090624
25.23853700,34.84682871,8.18672633,6.82229319,0.00000000,25.22464550
25.26324686,34.83683857,8.18447091,6.85097324,0.00000000,25.87519538
25.34432386,34.85054600,8.18520537,6.86790823,0.00000000,25.95859703
25.38298043,34.85301343,8.17934416,6.92778351,0.00000000,26.67829683
25.39995257,34.85748457,8.19030591,6.98164353,0.00000000,26.32966412
25.42091471,34.88786300,8.20456516,7.10578296,0.00000000,26.76141468
25.43835257,34.88339343,8.19878429,7.12853264,0.00000000,26.88725261
25.50536614,34.87570271,8.22344013,7.17007814,0.00000000,26.96729056
25.53529800,34.82903629,8.24853663,7.24006397,0.00000000,26.68087252
25.55660129,34.81361257,8.25683554,7.25439363,0.00000000,27.33207432
25.60818186,34.78257171,8.27216226,7.40526661,0.00000000,26.82439141
25.64298329,34.76134257,8.29690209,7.41839759,0.00000000,27.52007781
25.71158214,34.75351029,8.28683683,7.44467050,0.00000000,26.32488559
25.74271300,34.76145883,8.29493770,7.45392863,0.00000000,27.13000558
25.73508629,34.79602317,8.28414101,7.47662064,0.00000000,27.81594820
25.68081329,34.85793850,8.27201354,7.50317764,0.00000000,27.12564246
25.70361643,34.80495100,8.28029091,7.48792827,0.00000000,27.57669294
25.72039343,34.83641100,8.28785616,7.39666641,0.00000000,27.44836167
25.68120429,34.83101483,8.27387254,7.46147206,0.00000000,27.42178048
25.63557486,34.86845733,8.27793020,7.48557014,0.00000000,27.29136350
25.59035143,34.84320357,8.27891114,7.52157107,0.00000000,27.37840819
25.60526914,34.84523757,8.28265211,7.55650760,0.00000000,27.28847877
25.72619686,34.81682200,8.29611229,7.59263314,0.00000000,27.67089826
25.71929143,34.82398114,8.29217167,7.69121710,0.00000000,26.62450311
25.67289300,34.79299429,8.28381739,7.74514300,0.00000000,28.21235376
25.72024443,34.82412800,8.28777191,7.73547126,0.00000000,27.27316021
25.75202729,34.79089186,8.30294933,7.68925233,0.00000000,27.85371707
25.78039657,34.81696329,8.31182539,7.72094553,0.00000000,26.97137896
25.73149471,34.82106129,8.32240601,7.75377713,600.00000000,27.31928598
25.64137114,34.81343057,8.30302181,7.68043900,0.00000000,27.30750561
25.48977900,34.82569629,8.29837851,7.63932151,0.00000000,27.79845929
25.43172671,34.86734029,8.29716687,7.61613404,0.00000000,27.72733868
25.49104843,34.87694343,8.29540353,7.66070296,0.00000000,27.40037550
25.52561800,34.89199514,8.27907184,7.68541113,0.00000000,28.20565031
25.50093643,34.90274643,8.28611733,7.64045803,0.00000000,29.13220216
25.51716086,34.86786214,8.28306779,7.64635681,0.00000000,27.76670291
25.55619671,34.91810957,8.28628797,7.68867340,0.00000000,27.92714899
25.70859943,34.96248043,8.28975050,7.70263707,0.00000000,28.56429178
25.81347529,34.95049343,8.29107229,7.71481227,0.00000000,27.84631976
25.67952000,34.95519529,8.28202941,7.71279237,0.00000000,27.23905183
25.61088729,34.94586700,8.28151091,7.67346741,0.00000000,28.08556265
25.73863714,34.96223971,8.27526697,7.73453466,0.00000000,28.26375539
25.76616871,34.97485843,8.25942059,7.67771291,0.00000000,27.73476736
25.73123071,34.97816429,8.28097309,7.64836854,0.00000000,27.14712722
25.71956229,34.97204743,8.28448514,7.69639280,0.00000000,27.42234287
25.65052557,34.97538086,8.28711557,7.75503704,0.00000000,27.41811401
25.75232214,35.00168671,8.30933143,7.84832179,0.00000000,27.78645266
25.70448543,35.01295586,8.32769443,7.90844356,0.00000000,27.46301437
25.61374871,35.02268100,8.33472101,7.99569826,0.00000000,27.27765315
25.60874071,35.05126400,8.34546129,8.08170693,0.00000000,26.61072205
25.67815143,35.03709543,8.32785563,8.20002779,0.00000000,26.63044634
25.73518371,35.02047671,8.33146351,8.26755634,0.00000000,27.11276138
25.75513971,35.04568457,8.33652336,8.28857393,0.00000000,28.07910234
25.64349929,35.03572114,8.32468894,8.27242550,0.00000000,27.03548984
25.66043543,35.04524786,8.31945966,8.40228966,0.00000000,26.68087467
25.66334843,35.03337543,8.31862703,8.35468320,0.00000000,26.87267858
25.69735343,35.01225900,8.32854920,8.35272720,0.00000000,26.84967644
25.61372843,35.04474000,8.33345674,8.25267866,0.00000000,26.34591934
25.44565900,35.06949729,8.33566711,8.18254576,0.00000000,26.87498453
25.46581757,35.07952214,8.33725346,8.14795699,0.00000000,26.39668209
25.54412471,35.08921486,8.33273474,8.07415730,0.00000000,26.72119370
25.69924086,35.08904300,8.34056430,7.95795834,0.00000000,26.66041685
25.67170900,35.10950886,8.32694061,7.89753627,0.00000000,26.58013086
25.60530414,35.12671371,8.32699421,7.93379894,0.00000000,26.44677308
25.63716029,35.11885629,8.32997661,7.98044440,0.00000000,25.94122625
25.75910971,35.13259300,8.30977017,7.98604756,0.00000000,26.40250319
25.77502700,35.13805157,8.30614690,7.95038206,0.00000000,26.12839364
25.76292629,35.12408771,8.32316634,7.92713019,0.00000000,25.57343251
25.72207143,35.11407743,8.31458386,7.91870079,0.00000000,26.13015577
25.68384800,35.11866057,8.33348583,7.90857614,0.00000000,25.72227414
25.66465000,35.14362586,8.32798977,7.79347751,0.00000000,25.39435560
25.64345171,35.12174200,8.33280594,7.76017513,0.00000000,25.73797652
25.60388514,35.10584071,8.34628286,7.75308484,0.00000000,25.11463049
25.56542429,35.11063400,8.35021101,7.73590330,0.00000000,25.43242920
25.59023871,35.12549671,8.34553093,7.73408937,0.00000000,25.14675027
29.00464786,35.14684500,8.35756226,7.70087931,0.00000000,25.35040843
29.07879800,35.12638957,8.34434349,7.74627723,0.00000000,25.29451778
29.03323486,35.13445643,8.33306997,7.77480414,0.00000000,25.70942798
29.09051314,35.15169457,8.32712807,7.76417929,0.00000000,24.77418388
29.08736529,35.15616333,8.33617946,7.69702983,0.00000000,24.77947052
29.11797643,35.13150167,8.32843763,7.69665791,0.00000000,25.10107067
29.04186086,35.12659067,8.33205389,7.65517059,0.00000000,24.45853213
25.56828443,35.14205550,8.31034033,7.67511500,0.00000000,24.41974063
25.56382771,35.17462733,8.32115247,7.62718380,0.00000000,24.82063305
25.61040771,35.15886400,8.33766674,7.56600400,0.00000000,25.08217819
25.61072829,35.16766400,8.33841181,7.54122451,0.00000000,24.70622869
25.56208743,35.16163100,8.33268496,7.50190774,0.00000000,24.35359123
25.52364200,35.15510714,8.33105346,7.40267450,0.00000000,25.32702012
25.54938286,35.17470386,8.31360617,7.39071833,0.00000000,24.37238707
25.59857243,35.18046000,8.31868606,7.32875453,0.00000000,25.09646932
25.57737286,35.16949971,8.31049753,7.23126806,0.00000000,23.96212446
25.62367886,35.17855386,8.29632191,7.17268707,0.00000000,24.03491100
25.60452343,35.19633000,8.29239367,7.09224746,0.00000000,24.52907693
25.65348229,35.21530486,8.29138729,7.06038731,0.00000000,24.60584673
25.71003243,35.21909057,8.30017966,7.10814650,0.00000000,23.74412365
25.73545386,35.20533586,8.31450093,7.04923141,0.00000000,24.10478181
25.60356743,35.19689743,8.31201674,7.06015627,0.00000000,23.41226607
25.66242729,35.19844943,8.31011570,7.06931621,0.00000000,23.39878835
25.69291200,35.22115086,8.31645347,7.11704803,0.00000000,24.24083267
25.79225400,35.20471986,8.31178109,7.13441219,0.00000000,24.32862716
25.80416043,35.20228714,8.30351931,7.14211149,0.00000000,23.65693130
25.79919614,35.21394043,8.30296250,7.11859681,0.00000000,24.13573732
25.76029700,35.19756800,8.29049060,7.12979129,0.00000000,23.62575270
25.78832357,35.20776571,8.27758631,7.05324501,0.00000000,23.26020072
25.70521471,35.21547414,8.28137119,7.06808457,0.00000000,23.56109619
25.65501229,35.18459243,8.27415656,7.00567289,0.00000000,23.12286165
25.51835300,35.20447700,8.27768007,6.99243380,0.00000000,23.42180492
25.51995371,35.19662786,8.27760656,7.02242473,0.00000000,23.85793161
25.42734657,35.19077357,8.27418087,7.02943380,0.00000000,23.44749254
25.47092171,35.21056329,8.28448683,7.00878506,0.00000000,23.46596292
25.55252643,35.19251714,8.30355640,7.04317789,0.00000000,23.12252538
25.62371800,35.17489400,8.29877623,7.05410146,0.00000000,23.89030284
25.61535229,35.20938814,8.30447289,7.09944963,0.00000000,23.82510284
25.58662757,35.17607986,8.31081910,7.11851286,0.00000000,24.04910057
25.63016286,35.18600371,8.32539716,7.13348430,0.00000000,24.06568410
25.75439471,35.17551086,8.32640146,7.20735887,0.00000000,23.89683562
25.73902757,35.18085957,8.31927234,7.26688923,0.00000000,23.50378621
25.77575314,35.17268171,8.31031587,7.27734151,0.00000000,22.92278620
25.84093486,35.16032200,8.31030501,7.28723651,0.00000000,23.24445326
25.85752329,35.12696257,8.31561001,7.32633909,0.00000000,23.44991347
25.96358371,35.12209786,8.31398589,7.34974079,0.00000000,23.00986871
25.97471529,35.10569100,8.31253131,7.39501146,0.00000000,22.46652255
25.89003943,35.15738686,8.32267669,7.38333184,0.00000000,23.67168750
25.95506929,35.16093986,8.32425164,7.40992436,0.00000000,23.37255982
25.83340043,35.17125757,8.31546987,7.46896386,0.00000000,23.07886411
25.71474214,35.19595943,7.84632359,7.48759853,0.00000000,23.31805782
25.65981914,35.19139757,7.83999726,7.48349424,0.00000000,22.80788048
25.58941786,35.18992557,7.84063916,7.53783569,0.00000000,22.69984335
25.57122986,35.18493714,7.82775234,7.57408604,0.00000000,23.75517228
25.63454900,35.15776486,7.80820754,7.56176564,0.00000000,22.97193882
25.57363371,35.18242329,7.80255617,7.55719509,0.00000000,22.68216766
25.64063786,35.19235386,7.81589609,7.57206056,0.00000000,22.81153071
25.65840729,35.17325657,8.27776389,7.54798223,0.00000000,22.81055240
25.67766571,35.20149857,8.27080167,7.53339947,0.00000000,22.58209202
25.71703000,35.23533586,8.26638966,7.52417717,0.00000000,22.49957637
25.75887500,35.28927271,8.28154756,7.45047220,0.00000000,23.03613161
25.71168514,35.29639743,8.30529626,7.42958421,0.00000000,23.48424938
25.73235186,35.26863543,8.31225177,7.44914740,0.00000000,22.40046811
25.65561729,35.28668300,8.32517074,7.43853569,0.00000000,22.78444733
25.64814186,35.32367600,8.33788329,7.49902526,0.00000000,22.66040565
25.66563657,35.32225900,8.34958000,7.46085303,0.00000000,22.81013422
25.64920414,35.32912786,8.36431150,7.42494117,0.00000000,22.54924586
25.59885471,35.33606443,8.36092254,7.40277607,0.00000000,22.57653062
25.58225529,35.31672657,8.35127737,7.45091894,0.00000000,22.36170718
25.51557500,35.32173500,8.36284754,7.44925399,0.00000000,22.79373841
25.56464057,35.28963657,8.36041811,7.42514846,0.00000000,23.20848210
25.60171029,35.26663429,8.35610717,7.43047200,0.00000000,22.70976202
25.57408957,35.28298143,8.36449837,7.45741320,0.00000000,22.37959728
25.53680857,35.29983971,8.35435950,7.43798440,0.00000000,22.25355335
25.43212286,35.25592600,8.35861000,7.50773494,0.00000000,22.30819289
25.42698171,35.26307086,8.36117021,7.45679820,0.00000000,23.17014814
25.48975886,35.28776300,8.33588743,7.46061756,0.00000000,22.28694769
25.53784514,35.35504571,8.31549754,7.40429609,0.00000000,22.01728792
25.50477871,35.36293057,8.33577279,7.40869276,0.00000000,23.05732128
25.46576043,35.36342843,8.32783170,7.34208653,0.00000000,22.70008169
25.45790871,35.33772829,8.32142363,7.34746829,0.00000000,22.91249788
25.50938914,35.35603229,8.31405327,7.29860704,0.00000000,22.81461956
25.45772971,35.38591271,8.31790926,7.37023054,0.00000000,22.95376954
25.40947400,35.37552643,8.33905656,7.34087481,0.00000000,22.40381544
25.38148643,35.34440129,8.35908827,7.37960911,0.00000000,23.73715767
25.39214171,35.35931229,8.34842800,7.31672411,0.00000000,22.41347638
25.51097971,35.32606129,8.35361264,7.43439107,0.00000000,22.96920235
25.49039643,35.31187929,8.35349069,7.49200293,0.00000000,22.49642112
25.52058743,35.28973557,8.34894931,7.47705123,0.00000000,22.41459604
